,participant,block,order,spelling,wnw,resp,accuracy,prev.acc,rt,prev.rt,freq,prev.wnw,fg,wfnw,resp.1,ve
1,1,1,201,schoden,2,2,1,NA,526,NA,NA,NA,NA,7,2,0
2,1,1,202,verboor,2,2,1,1,575,526,NA,2,NA,7,2,0
3,1,1,203,snerven,2,2,1,1,540,575,NA,2,NA,7,2,0
4,1,1,204,kostte,1,1,1,1,541,540,15.1843,2,6,6,1,0
5,1,1,205,penk,2,2,1,1,541,541,NA,1,NA,7,2,1
6,1,1,206,gestard,2,1,0,1,459,541,NA,2,NA,7,1,0
7,1,1,207,moeen,2,2,1,0,655,459,NA,2,NA,7,2,1
8,1,1,208,luie,1,2,0,1,507,655,7.2034,2,5,5,2,0
9,1,1,209,noetig,2,2,1,0,620,507,NA,1,NA,7,2,0
10,1,1,210,stapt,1,1,1,1,425,620,11.5712,2,5,5,1,0
11,1,1,211,nasleep,1,1,1,1,750,425,0.3659,1,2,2,1,0
12,1,1,212,hebbend,1,1,1,1,534,750,0.2058,1,2,2,1,0
13,1,1,213,zwee,2,2,1,1,631,534,NA,1,NA,7,2,0
14,1,1,214,rua's,2,2,1,1,563,631,NA,2,NA,7,2,0
15,1,1,215,feeks,1,1,1,1,546,563,1.898,2,4,4,1,1
16,1,1,216,fitten,1,2,0,1,594,546,0.0229,1,1,1,2,0
17,1,1,217,blooi,2,2,1,0,704,594,NA,1,NA,7,2,0
18,1,1,218,bratten,2,2,1,1,634,704,NA,2,NA,7,2,0
19,1,1,219,googje,2,2,1,1,854,634,NA,2,NA,7,2,0
20,1,1,220,gazat,2,2,1,1,618,854,NA,2,NA,7,2,0
21,1,1,221,meertuin,2,2,1,1,791,618,NA,2,NA,7,2,0
22,1,1,222,vlakke,1,1,1,1,541,791,0.7089,2,3,3,1,0
23,1,1,223,maandag,1,1,1,1,429,541,30.986,1,6,6,1,1
24,1,1,224,kaper,1,2,0,1,658,429,1.0291,1,3,3,2,0
25,1,1,225,termen,1,1,1,0,589,658,2.4697,1,4,4,1,0
26,1,1,226,broches,1,1,1,1,1051,589,0.0229,1,1,1,1,0
27,1,1,227,tweede,1,1,1,1,520,1051,129.8211,1,6,6,1,0
28,1,1,228,mondoor,2,2,1,1,680,520,NA,1,NA,7,2,0
29,1,1,229,zachte,1,1,1,1,1171,680,10.1762,2,5,5,1,1
30,1,1,230,roofwerk,2,1,0,1,938,1171,NA,1,NA,7,1,0
31,1,1,231,zwarter,1,1,1,0,618,938,0.4802,2,NA,NA,1,0
32,1,1,232,mij,1,1,1,1,487,618,2540.5548,1,6,6,1,0
33,1,1,233,duidt,1,1,1,1,762,487,3.3616,1,4,4,1,0
34,1,1,234,hoorn,1,1,1,1,802,762,8.0038,1,5,5,1,0
35,1,1,235,bied,1,1,1,1,679,802,21.8617,1,6,6,1,0
36,1,1,236,strohaak,2,2,1,1,1042,679,NA,1,NA,7,2,0
37,1,1,237,gesmaafd,2,2,1,1,702,1042,NA,2,NA,7,2,0
38,1,1,238,spleken,2,2,1,1,679,702,NA,2,NA,7,2,0
39,1,1,239,hoog,1,1,1,1,577,679,63.2297,2,6,6,1,0
40,1,1,240,achting,1,1,1,1,640,577,1.0748,1,3,3,1,0
41,1,1,241,bloedbad,1,1,1,1,621,640,6.7232,1,5,5,1,0
42,1,1,242,arweg,2,2,1,1,537,621,NA,1,NA,7,2,0
43,1,1,243,stijt,2,2,1,1,698,537,NA,2,NA,7,2,0
44,1,1,244,weefsels,1,1,1,1,532,698,0.4345,2,2,2,1,0
45,1,1,245,moepe,2,2,1,1,612,532,NA,1,NA,7,2,0
46,1,1,246,nom,2,2,1,1,689,612,NA,2,NA,7,2,0
